Project,Plate_ID,Plate_Row,Plate_Col,Sample,Raw_value
HTS_Cell_Screen_FP,336,1,1,ctrl,92.792407112173
HTS_Cell_Screen_FP,336,1,2,TN336-01-02,2.39702200148329
HTS_Cell_Screen_FP,336,1,3,TN336-01-03,3.06113762307905
HTS_Cell_Screen_FP,336,1,4,TN336-01-04,10.139193221515
HTS_Cell_Screen_FP,336,1,5,TN336-01-05,13.6746366282177
HTS_Cell_Screen_FP,336,1,6,TN336-01-06,3.97467664967832
HTS_Cell_Screen_FP,336,1,7,TN336-01-07,5.71008249165468
HTS_Cell_Screen_FP,336,1,8,TN336-01-08,6.53859763514379
HTS_Cell_Screen_FP,336,1,9,TN336-01-09,4.36461412741868
HTS_Cell_Screen_FP,336,1,10,TN336-01-10,28.6069416266323
HTS_Cell_Screen_FP,336,1,11,TN336-01-11,6.88621954262053
HTS_Cell_Screen_FP,336,1,12,TN336-01-12,7.4284711703578
HTS_Cell_Screen_FP,336,1,13,TN336-01-13,7.04622295459362
HTS_Cell_Screen_FP,336,1,14,TN336-01-14,2.96404764643531
HTS_Cell_Screen_FP,336,1,15,TN336-01-15,3.0633950272917
HTS_Cell_Screen_FP,336,1,16,TN336-01-16,8.20237681464381
HTS_Cell_Screen_FP,336,1,17,TN336-01-17,1.64239994690239
HTS_Cell_Screen_FP,336,1,18,TN336-01-18,8.10805923018615
HTS_Cell_Screen_FP,336,1,19,TN336-01-19,16.9662210199415
HTS_Cell_Screen_FP,336,1,20,TN336-01-20,14.8598640150979
HTS_Cell_Screen_FP,336,1,21,TN336-01-21,4.59577876390411
HTS_Cell_Screen_FP,336,1,22,TN336-01-22,15.0227052921236
HTS_Cell_Screen_FP,336,1,23,TN336-01-23,3.2793336967792
HTS_Cell_Screen_FP,336,1,24,ctrl,7.2658483302459
HTS_Cell_Screen_FP,336,2,1,ctrl,92.841484314909
HTS_Cell_Screen_FP,336,2,2,TN336-02-02,3.37345009770239
HTS_Cell_Screen_FP,336,2,3,TN336-02-03,3.70441119631991
HTS_Cell_Screen_FP,336,2,4,TN336-02-04,11.5323652763422
HTS_Cell_Screen_FP,336,2,5,TN336-02-05,5.01606478120266
HTS_Cell_Screen_FP,336,2,6,TN336-02-06,7.30640700245771
HTS_Cell_Screen_FP,336,2,7,TN336-02-07,3.3590253388356
HTS_Cell_Screen_FP,336,2,8,TN336-02-08,15.5253933670917
HTS_Cell_Screen_FP,336,2,9,TN336-02-09,28.6109835929029
HTS_Cell_Screen_FP,336,2,10,TN336-02-10,10.3835235083806
HTS_Cell_Screen_FP,336,2,11,TN336-02-11,4.38563320144707
HTS_Cell_Screen_FP,336,2,12,TN336-02-12,8.19785036856233
HTS_Cell_Screen_FP,336,2,13,TN336-02-13,19.8083337181893
HTS_Cell_Screen_FP,336,2,14,TN336-02-14,3.14282080114439
HTS_Cell_Screen_FP,336,2,15,TN336-02-15,7.56419840536032
HTS_Cell_Screen_FP,336,2,16,TN336-02-16,7.10816273268106
HTS_Cell_Screen_FP,336,2,17,TN336-02-17,10.339073467832
HTS_Cell_Screen_FP,336,2,18,TN336-02-18,6.48582606938946
HTS_Cell_Screen_FP,336,2,19,TN336-02-19,10.4252042497097
HTS_Cell_Screen_FP,336,2,20,TN336-02-20,12.8903254555259
HTS_Cell_Screen_FP,336,2,21,TN336-02-21,5.56927145336345
HTS_Cell_Screen_FP,336,2,22,TN336-02-22,9.24307638807129
HTS_Cell_Screen_FP,336,2,23,TN336-02-23,14.0329744844005
HTS_Cell_Screen_FP,336,2,24,ctrl,7.56785186472622
HTS_Cell_Screen_FP,336,3,1,ctrl,92.719457319872
HTS_Cell_Screen_FP,336,3,2,TN336-03-02,7.08398600226099
HTS_Cell_Screen_FP,336,3,3,TN336-03-03,2.50158833813949
HTS_Cell_Screen_FP,336,3,4,TN336-03-04,12.6704572015274
HTS_Cell_Screen_FP,336,3,5,TN336-03-05,11.3466879177436
HTS_Cell_Screen_FP,336,3,6,TN336-03-06,8.91789525647325
HTS_Cell_Screen_FP,336,3,7,TN336-03-07,15.2893748869183
HTS_Cell_Screen_FP,336,3,8,TN336-03-08,3.84204763176888
HTS_Cell_Screen_FP,336,3,9,TN336-03-09,10.1049273080803
HTS_Cell_Screen_FP,336,3,10,TN336-03-10,10.250112087874
HTS_Cell_Screen_FP,336,3,11,TN336-03-11,3.0254824778544
HTS_Cell_Screen_FP,336,3,12,TN336-03-12,2.47876323174257
HTS_Cell_Screen_FP,336,3,13,TN336-03-13,6.33104121372707
HTS_Cell_Screen_FP,336,3,14,TN336-03-14,9.82364163351909
HTS_Cell_Screen_FP,336,3,15,TN336-03-15,7.25285835361286
HTS_Cell_Screen_FP,336,3,16,TN336-03-16,5.33293051793701
HTS_Cell_Screen_FP,336,3,17,TN336-03-17,8.06516643385635
HTS_Cell_Screen_FP,336,3,18,TN336-03-18,9.61382590390283
HTS_Cell_Screen_FP,336,3,19,TN336-03-19,8.63263316997585
HTS_Cell_Screen_FP,336,3,20,TN336-03-20,9.36546616543054
HTS_Cell_Screen_FP,336,3,21,TN336-03-21,3.77494989376212
HTS_Cell_Screen_FP,336,3,22,TN336-03-22,15.271393781872
HTS_Cell_Screen_FP,336,3,23,TN336-03-23,12.4484202134694
HTS_Cell_Screen_FP,336,3,24,ctrl,5.76039953513565
HTS_Cell_Screen_FP,336,4,1,ctrl,86.6777711639385
HTS_Cell_Screen_FP,336,4,2,TN336-04-02,3.71186690942671
HTS_Cell_Screen_FP,336,4,3,TN336-04-03,21.98652592843
HTS_Cell_Screen_FP,336,4,4,TN336-04-04,2.67605324029478
HTS_Cell_Screen_FP,336,4,5,TN336-04-05,14.1604409333003
HTS_Cell_Screen_FP,336,4,6,TN336-04-06,20.0495295879216
HTS_Cell_Screen_FP,336,4,7,TN336-04-07,10.3557559719848
HTS_Cell_Screen_FP,336,4,8,TN336-04-08,5.21715592368474
HTS_Cell_Screen_FP,336,4,9,TN336-04-09,7.84174464107121
HTS_Cell_Screen_FP,336,4,10,TN336-04-10,6.40225439637546
HTS_Cell_Screen_FP,336,4,11,TN336-04-11,3.29222486860352
HTS_Cell_Screen_FP,336,4,12,TN336-04-12,10.6370305144186
HTS_Cell_Screen_FP,336,4,13,TN336-04-13,6.1099334741711
HTS_Cell_Screen_FP,336,4,14,TN336-04-14,8.86516255899412
HTS_Cell_Screen_FP,336,4,15,TN336-04-15,3.2254456208732
HTS_Cell_Screen_FP,336,4,16,TN336-04-16,7.23081250580313
HTS_Cell_Screen_FP,336,4,17,TN336-04-17,14.9337196305657
HTS_Cell_Screen_FP,336,4,18,TN336-04-18,3.3435710845204
HTS_Cell_Screen_FP,336,4,19,TN336-04-19,11.2712912364141
HTS_Cell_Screen_FP,336,4,20,TN336-04-20,6.50369198760741
HTS_Cell_Screen_FP,336,4,21,TN336-04-21,4.8252498166335
HTS_Cell_Screen_FP,336,4,22,TN336-04-22,16.2691921842209
HTS_Cell_Screen_FP,336,4,23,TN336-04-23,8.4900542064443
HTS_Cell_Screen_FP,336,4,24,ctrl,9.04549968305373
HTS_Cell_Screen_FP,336,5,1,ctrl,86.2596987806338
HTS_Cell_Screen_FP,336,5,2,TN336-05-02,9.38661809055471
HTS_Cell_Screen_FP,336,5,3,TN336-05-03,16.8477339838337
HTS_Cell_Screen_FP,336,5,4,TN336-05-04,9.47085509969155
HTS_Cell_Screen_FP,336,5,5,TN336-05-05,11.2920020973991
HTS_Cell_Screen_FP,336,5,6,TN336-05-06,5.1554585324558
HTS_Cell_Screen_FP,336,5,7,TN336-05-07,13.9563735478748
HTS_Cell_Screen_FP,336,5,8,TN336-05-08,6.88072244205162
HTS_Cell_Screen_FP,336,5,9,TN336-05-09,11.290997838318
HTS_Cell_Screen_FP,336,5,10,TN336-05-10,16.7179707664538
HTS_Cell_Screen_FP,336,5,11,TN336-05-11,2.56713765145793
HTS_Cell_Screen_FP,336,5,12,TN336-05-12,8.26676356706262
HTS_Cell_Screen_FP,336,5,13,TN336-05-13,7.6565219596327
HTS_Cell_Screen_FP,336,5,14,TN336-05-14,12.5408103572338
HTS_Cell_Screen_FP,336,5,15,TN336-05-15,6.4102304841868
HTS_Cell_Screen_FP,336,5,16,TN336-05-16,32.1880745049551
HTS_Cell_Screen_FP,336,5,17,TN336-05-17,8.88065358114921
HTS_Cell_Screen_FP,336,5,18,TN336-05-18,6.21829212159163
HTS_Cell_Screen_FP,336,5,19,TN336-05-19,9.01138960441428
HTS_Cell_Screen_FP,336,5,20,TN336-05-20,4.81916014295221
HTS_Cell_Screen_FP,336,5,21,TN336-05-21,19.0479127860278
HTS_Cell_Screen_FP,336,5,22,TN336-05-22,5.45275816060124
HTS_Cell_Screen_FP,336,5,23,TN336-05-23,16.6241348077948
HTS_Cell_Screen_FP,336,5,24,ctrl,10.1643690488189
HTS_Cell_Screen_FP,336,6,1,ctrl,92.932378225618
HTS_Cell_Screen_FP,336,6,2,TN336-06-02,12.0392669467243
HTS_Cell_Screen_FP,336,6,3,TN336-06-03,11.4669306340752
HTS_Cell_Screen_FP,336,6,4,TN336-06-04,3.62990920080637
HTS_Cell_Screen_FP,336,6,5,TN336-06-05,14.6832693739645
HTS_Cell_Screen_FP,336,6,6,TN336-06-06,10.8341234483902
HTS_Cell_Screen_FP,336,6,7,TN336-06-07,16.0635590647497
HTS_Cell_Screen_FP,336,6,8,TN336-06-08,21.0623647558344
HTS_Cell_Screen_FP,336,6,9,TN336-06-09,10.5628152759399
HTS_Cell_Screen_FP,336,6,10,TN336-06-10,6.10922209489615
HTS_Cell_Screen_FP,336,6,11,TN336-06-11,6.23858356625574
HTS_Cell_Screen_FP,336,6,12,TN336-06-12,18.0247492900414
HTS_Cell_Screen_FP,336,6,13,TN336-06-13,9.39969744164245
HTS_Cell_Screen_FP,336,6,14,TN336-06-14,5.22688869308428
HTS_Cell_Screen_FP,336,6,15,TN336-06-15,1.68035352606221
HTS_Cell_Screen_FP,336,6,16,TN336-06-16,12.1594898363153
HTS_Cell_Screen_FP,336,6,17,TN336-06-17,7.26041374463714
HTS_Cell_Screen_FP,336,6,18,TN336-06-18,1.89087320319271
HTS_Cell_Screen_FP,336,6,19,TN336-06-19,2.54129181549592
HTS_Cell_Screen_FP,336,6,20,TN336-06-20,12.3315123154862
HTS_Cell_Screen_FP,336,6,21,TN336-06-21,13.4598647769187
HTS_Cell_Screen_FP,336,6,22,TN336-06-22,6.33530810467422
HTS_Cell_Screen_FP,336,6,23,TN336-06-23,4.20194634286748
HTS_Cell_Screen_FP,336,6,24,ctrl,12.3891558271723
HTS_Cell_Screen_FP,336,7,1,ctrl,86.6282428672774
HTS_Cell_Screen_FP,336,7,2,TN336-07-02,6.64403542542228
HTS_Cell_Screen_FP,336,7,3,TN336-07-03,3.07140022366595
HTS_Cell_Screen_FP,336,7,4,TN336-07-04,10.2546868656612
